# Chunk-averaged data for fix temp_profile and group all
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount temp
1000 20 12312
  5 28.9143 347.95 441.537
  6 31.367 763.74 453.773
  7 33.8196 405.53 479.63
  8 36.2722 660.16 487.979
  9 38.7249 514.28 478.917
  10 41.1775 592.18 493.311
  11 43.6301 548.31 506.323
  12 46.0827 533.53 486.055
  13 48.5354 570.58 481.729
  14 50.988 544.65 473.438
  15 53.4406 637.62 465.908
  16 55.8933 446.97 461.575
  17 58.3459 735.42 448.504
  18 60.7985 360.92 438.345
  19 63.2511 990.34 430.236
  20 65.7038 370.79 390.517
26000 20 12312
  1 19.1038 963.43 385.844
  2 21.5565 927.62 407.185
  3 24.0091 381.44 432.69
  4 26.4617 955.94 441.536
  5 28.9143 353.41 453.59
  6 31.367 741.77 452.577
  7 33.8196 433.46 458.25
  8 36.2722 644.32 479.738
  9 38.7249 513.92 487.625
  10 41.1775 562.21 503.93
  11 43.6301 575.79 500.864
  12 46.0827 547.97 498.304
  13 48.5354 579.65 487.891
  14 50.988 587.29 466.647
  15 53.4406 610.07 465.011
  16 55.8933 469.45 450.013
  17 58.3459 721.86 441.822
  18 60.7985 368.82 439.251
  19 63.2511 968.12 432.06
  20 65.7038 405.46 391.419
27000 20 12312
  1 19.1038 957.46 387.821
  2 21.5565 964.45 402.294
  3 24.0091 420.28 423.105
  4 26.4617 943.67 444.456
  5 28.9143 373.82 447.342
  6 31.367 759.15 460.45
  7 33.8196 438.05 462.804
  8 36.2722 668.87 486.721
  9 38.7249 476.31 491.812
  10 41.1775 601.76 508.56
  11 43.6301 544.85 506.646
  12 46.0827 526.65 504.559
  13 48.5354 586.52 483.781
  14 50.988 551.07 464.761
  15 53.4406 615.53 467.656
  16 55.8933 465.67 442.396
  17 58.3459 718.42 440.103
  18 60.7985 366.3 445.627
  19 63.2511 975.64 436.52
  20 65.7038 357.53 399.144
28000 20 12312
  1 19.1038 938.77 381.714
  2 21.5565 966.1 404.578
  3 24.0091 455.01 422.087
  4 26.4617 925.41 441.545
  5 28.9143 377.04 441.58
  6 31.367 771.83 461.682
  7 33.8196 429.84 467.937
  8 36.2722 671.52 492.468
  9 38.7249 492.14 484.641
  10 41.1775 616.48 505.277
  11 43.6301 508.67 511.466
  12 46.0827 558.5 488.699
  13 48.5354 587.15 472.12
  14 50.988 567.35 464.176
  15 53.4406 607.35 460.663
  16 55.8933 455.06 442.006
  17 58.3459 701.26 441.107
  18 60.7985 360.26 441.526
  19 63.2511 985.05 436.643
  20 65.7038 337.21 385.473
29000 20 12312
  1 19.1038 993.17 382.76
  2 21.5565 927.58 412.158
  3 24.0091 425.91 426.946
  4 26.4617 941.55 445.905
  5 28.9143 355.87 444.001
  6 31.367 797.96 463.309
  7 33.8196 404.22 476.065
  8 36.2722 673.09 496.088
  9 38.7249 478.09 485.53
  10 41.1775 604.33 493.16
  11 43.6301 512.17 508.018
  12 46.0827 591.25 490.769
  13 48.5354 590.78 475.641
  14 50.988 555.08 473.994
  15 53.4406 609.38 456.342
  16 55.8933 468.85 451.745
  17 58.3459 704.33 447.321
  18 60.7985 357.73 437.306
  19 63.2511 982.9 433.811
  20 65.7038 337.76 382.306
30000 20 12312.000000000002
  1 19.1038 970.36 382.347
  2 21.5565 954.04 407.105
  3 24.0091 378.26 423.69
  4 26.4617 956.07 447.201
  5 28.9143 338.22 442.747
  6 31.367 783.85 465.987
  7 33.8196 420.59 473.901
  8 36.2722 654.67 491.522
  9 38.7249 489.68 478.942
  10 41.1775 587.3 491.543
  11 43.6301 534.22 511.415
  12 46.0827 568.97 490.682
  13 48.5354 579.07 480.852
  14 50.988 559.39 463.751
  15 53.4406 608.53 461.46
  16 55.8933 490.23 449.532
  17 58.3459 715.84 444.89
  18 60.7985 366.27 430.99
  19 63.2511 963.29 432.989
  20 65.7038 393.15 387.353
31000 20 12312.000000000002
  1 19.1038 934.27 386.134
  2 21.5565 926.98 407.077
  3 24.0091 435.43 424.547
  4 26.4617 930.78 448.476
  5 28.9143 366.22 448.883
  6 31.367 773.5 462.72
  7 33.8196 434.22 470.895
  8 36.2722 647.04 485.694
  9 38.7249 475.17 483.443
  10 41.1775 585.75 507.189
  11 43.6301 540.76 524.104
  12 46.0827 552.24 491.286
  13 48.5354 581.94 482.391
  14 50.988 563.75 475.603
  15 53.4406 607.81 456.084
  16 55.8933 483.11 440.741
  17 58.3459 724.19 444.442
  18 60.7985 370.51 436.346
  19 63.2511 961.87 430.19
  20 65.7038 416.46 383.042
32000 20 12312
