# Chunk-averaged data for fix temp_profile and group all
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount temp
1000 20 12312
  11 43.6301 557.38 544.258
  12 46.0827 550.1 510.935
  13 48.5354 573.42 510.607
  14 50.988 490.95 505.984
  15 53.4406 621.43 465.809
  16 55.8933 449.79 463.198
  17 58.3459 753.58 434.83
  18 60.7985 359.68 424.702
  19 63.2511 1021.21 427.183
  20 65.7038 325.17 361.104
26000 20 12312.000000000002
  1 19.1038 1092.02 362.048
  2 21.5565 1046.91 374.973
  3 24.0091 254.54 383.103
  4 26.4617 1018.56 428.148
  5 28.9143 344.74 445.686
  6 31.367 715.7 468.737
  7 33.8196 457.85 488.711
  8 36.2722 644.09 489.733
  9 38.7249 505.22 490.511
  10 41.1775 537.83 504.81
  11 43.6301 546.47 538.763
  12 46.0827 550.77 520.816
  13 48.5354 576.15 505.374
  14 50.988 533.58 488.359
  15 53.4406 616.83 474.216
  16 55.8933 462.16 461.408
  17 58.3459 740.45 433.188
  18 60.7985 344 426.895
  19 63.2511 1036.2 430.982
  20 65.7038 287.93 361.758
27000 20 12312
  1 19.1038 1064.59 361.415
  2 21.5565 1051.76 376.754
  3 24.0091 289.19 385.436
  4 26.4617 1006.55 434.933
  5 28.9143 352.87 446.733
  6 31.367 722.38 471.232
  7 33.8196 455.92 488.8
  8 36.2722 630.07 495.978
  9 38.7249 529.19 495.876
  10 41.1775 562.58 510.248
  11 43.6301 533.22 533.059
  12 46.0827 552.22 522.041
  13 48.5354 577.85 501.6
  14 50.988 516.18 495.74
  15 53.4406 616.79 482.51
  16 55.8933 456.16 456.019
  17 58.3459 740.18 436.484
  18 60.7985 341.41 433.576
  19 63.2511 1041.42 432.38
  20 65.7038 271.47 367.66
28000 20 12312.000000000002
  1 19.1038 994.46 363.814
  2 21.5565 1029.76 380.223
  3 24.0091 322.79 391.839
  4 26.4617 991.37 432.402
  5 28.9143 352.32 450.532
  6 31.367 745.48 468.806
  7 33.8196 443.58 477.767
  8 36.2722 634.16 489.381
  9 38.7249 491.46 497.836
  10 41.1775 584.1 515.042
  11 43.6301 521.05 527.051
  12 46.0827 575.88 517.525
  13 48.5354 570.91 507.585
  14 50.988 528.54 484.723
  15 53.4406 638.28 482.427
  16 55.8933 432.67 464.146
  17 58.3459 742.78 438.237
  18 60.7985 349.09 436.845
  19 63.2511 1031.3 427.431
  20 65.7038 332.02 349.999
29000 20 12312
  1 19.1038 1022.51 359.784
  2 21.5565 1039.99 384.866
  3 24.0091 327.73 385.084
  4 26.4617 1002.33 435.11
  5 28.9143 359.93 450.893
  6 31.367 752.4 474.796
  7 33.8196 446.69 479.388
  8 36.2722 637.43 475.424
  9 38.7249 491.11 498.686
  10 41.1775 574.75 511.81
  11 43.6301 520.16 526.401
  12 46.0827 565.08 511.633
  13 48.5354 552.95 512.695
  14 50.988 523.74 483.92
  15 53.4406 623.35 476.81
  16 55.8933 454.78 465.216
  17 58.3459 737.16 438.859
  18 60.7985 356.92 435.525
  19 63.2511 1022.4 428.928
  20 65.7038 300.59 358.773
30000 20 12312
  1 19.1038 992.01 363.397
  2 21.5565 1013.62 383.176
  3 24.0091 331.2 393
  4 26.4617 991.32 438.988
  5 28.9143 362.54 456.972
  6 31.367 736.93 468.418
  7 33.8196 451.12 473.711
  8 36.2722 647.99 485.341
  9 38.7249 481 495.794
  10 41.1775 566.74 508.578
  11 43.6301 528.33 523.345
  12 46.0827 571.81 508.9
  13 48.5354 572.56 507.173
  14 50.988 501.86 494.705
  15 53.4406 641.94 488.641
  16 55.8933 446.35 475.416
  17 58.3459 743.78 444.846
  18 60.7985 363.15 422.571
  19 63.2511 1016.65 424.549
  20 65.7038 351.1 358.624
31000 20 12312
  1 19.1038 1039.11 360.191
  2 21.5565 1065.39 381.358
  3 24.0091 299.97 402.583
  4 26.4617 1004.4 435.959
  5 28.9143 354.87 453.83
  6 31.367 726.16 458.359
  7 33.8196 461.86 476.498
  8 36.2722 636.32 485.892
  9 38.7249 502.66 491.559
  10 41.1775 558.7 507.164
  11 43.6301 529.45 517.832
