# Chunk-averaged data for fix temp_profile and group all
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount temp
1000 21 12311.999999999998
  9 -3.61379 642.39 471.026
  10 -1.2046 590.19 475.127
  11 1.2046 614.58 477.123
  12 3.61379 590.7 473.77
  13 6.02298 609.56 465.01
  14 8.43217 615.32 451.229
  15 10.8414 657.45 449.424
  16 13.2505 616.86 451.23
  17 15.6597 624.17 453.643
  18 18.0689 594.61 449.686
  19 20.4781 629.5 447.529
  20 22.8873 606.01 438.161
  21 25.2965 0 0
22000 21 12312.000000000002
  1 -22.8873 621.52 432.848
  2 -20.4781 630.69 427.529
  3 -18.0689 627.43 427.026
  4 -15.6597 598.09 437.215
  5 -13.2505 643.48 441.313
  6 -10.8414 614.85 435.551
  7 -8.43217 595.52 451.596
  8 -6.02298 589.17 455.547
  9 -3.61379 656.96 467.829
  10 -1.2046 585.4 467.801
  11 1.2046 599.51 473.534
  12 3.61379 584.08 472.518
  13 6.02298 611.97 450.034
  14 8.43217 604.12 463.362
  15 10.8414 651.38 448.485
  16 13.2505 600.17 443.498
  17 15.6597 638.54 447.093
  18 18.0689 600.16 447.417
  19 20.4781 621.45 438.947
  20 22.8873 637.51 435.65
  21 25.2965 0 0
23000 21 12312
  1 -22.8873 609.31 429.743
  2 -20.4781 620.86 439.644
  3 -18.0689 639.3 429.418
  4 -15.6597 579.32 439.168
  5 -13.2505 638.03 443.652
  6 -10.8414 620.35 443.831
  7 -8.43217 614.38 449.001
  8 -6.02298 604.11 458.709
  9 -3.61379 648.6 466.502
  10 -1.2046 590.15 472.158
  11 1.2046 596.8 481.676
  12 3.61379 584.31 467.5
  13 6.02298 622.04 454.223
  14 8.43217 585.81 465.036
  15 10.8414 661.14 451.429
  16 13.2505 590.11 447.312
  17 15.6597 646.78 442.979
  18 18.0689 593.41 451.173
  19 20.4781 632.46 437.398
  20 22.8873 634.73 437.658
  21 25.2965 0 0
24000 21 12311.999999999998
  1 -22.8873 611.79 428.543
  2 -20.4781 631.96 437.432
  3 -18.0689 640.68 435.262
  4 -15.6597 584.52 440.718
  5 -13.2505 667.36 449.973
  6 -10.8414 603.39 450.16
  7 -8.43217 615.24 452.877
  8 -6.02298 617.91 463.817
  9 -3.61379 641.12 462.395
  10 -1.2046 593.74 468.714
  11 1.2046 613.41 472.351
  12 3.61379 572.16 463.751
  13 6.02298 629.46 457.455
  14 8.43217 568.69 453.339
  15 10.8414 664.8 451.989
  16 13.2505 585.48 447.931
  17 15.6597 629.95 449.708
  18 18.0689 597.55 442.945
  19 20.4781 638.52 441.825
  20 22.8873 604.27 431.357
  21 25.2965 0 0
25000 21 12312
  1 -22.8873 627.94 428.346
  2 -20.4781 612.93 427.728
  3 -18.0689 628.13 443.257
  4 -15.6597 611.28 436.093
  5 -13.2505 637.91 450.737
  6 -10.8414 605.75 445.861
  7 -8.43217 601.79 445.907
  8 -6.02298 607.79 453.564
  9 -3.61379 645.13 473.996
  10 -1.2046 589.68 471.879
  11 1.2046 651.39 483.629
  12 3.61379 579.06 472.189
  13 6.02298 623.23 455.186
  14 8.43217 595.4 448.518
  15 10.8414 636.09 444.329
  16 13.2505 576.07 442.172
  17 15.6597 608.25 447.113
  18 18.0689 602.26 446.888
  19 20.4781 656.9 446.479
  20 22.8873 615.02 432.894
