# Chunk-averaged data for fix temp_profile and group all
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount temp
1000 20 12312
25000 20 12312.000000000002
  1 -24.0223 623.69 436.636
  2 -21.4936 643.17 436.931
  3 -18.965 611.08 432.388
  4 -16.4363 617.51 433.282
  5 -13.9076 603.11 446.55
  6 -11.379 614.45 455.873
  7 -8.85032 621.15 455.479
  8 -6.32165 632.19 453.317
  9 -3.79299 610.05 456.107
  10 -1.26433 617.55 468.858
  11 1.26433 598.01 471.078
  12 3.79299 647.89 457.418
  13 6.32165 615.79 468.78
  14 8.85032 631.37 451.434
  15 11.379 582.36 454.265
  16 13.9076 612.24 455.001
  17 16.4363 598 445.594
  18 18.965 616.76 434.88
  19 21.4936 598.07 423.94
  20 24.0223 617.56 423.997
26000 20 12312.000000000002
  1 -24.0223 604.89 430.004
  2 -21.4936 657.41 431.138
  3 -18.965 606.97 435.242
  4 -16.4363 611.92 442.759
  5 -13.9076 602.05 440.141
  6 -11.379 616.92 459.732
  7 -8.85032 618.76 460.112
  8 -6.32165 616.89 453.516
  9 -3.79299 611.28 461.295
  10 -1.26433 623.57 465.508
  11 1.26433 620.17 476.187
  12 3.79299 630.5 474.853
  13 6.32165 616.25 471.713
  14 8.85032 630.7 454.168
  15 11.379 593.83 461.686
  16 13.9076 607.36 453.729
  17 16.4363 594.48 446.219
  18 18.965 619.19 431.633
  19 21.4936 608.1 423.286
  20 24.0223 620.76 438.492
27000 20 12312
  1 -24.0223 602.51 427.197
  2 -21.4936 639.16 426.434
  3 -18.965 627.17 428.956
  4 -16.4363 616.87 439.979
  5 -13.9076 618.19 441.176
  6 -11.379 602.76 445.234
  7 -8.85032 621.84 447.851
  8 -6.32165 607.72 461.137
  9 -3.79299 615.7 468.953
  10 -1.26433 600.54 468.764
  11 1.26433 606.58 468.845
  12 3.79299 633.62 470.777
  13 6.32165 637.76 468.933
  14 8.85032 617.72 463.569
  15 11.379 617.08 459.36
  16 13.9076 597.2 460.604
  17 16.4363 602.91 439.727
  18 18.965 616.02 433.309
  19 21.4936 600.97 430.363
  20 24.0223 629.68 440.193
28000 20 12311.999999999996
  1 -24.0223 605.45 434.692
  2 -21.4936 655.55 423.613
  3 -18.965 632.76 428.761
  4 -16.4363 611.22 438.053
  5 -13.9076 637.8 446.203
  6 -11.379 618.91 453.527
  7 -8.85032 620.46 451.305
  8 -6.32165 614.57 454.61
  9 -3.79299 602.98 455.372
  10 -1.26433 602.24 464.794
  11 1.26433 609.82 478.045
  12 3.79299 632.37 477.634
  13 6.32165 616.16 461.394
  14 8.85032 619.17 456.422
  15 11.379 604.74 459.122
  16 13.9076 600.35 455.872
  17 16.4363 583.16 446.655
  18 18.965 609.24 433.799
  19 21.4936 591.32 431.887
  20 24.0223 643.73 430.606
29000 20 12312.000000000002
  1 -24.0223 620.1 434.689
  2 -21.4936 653.66 429.122
  3 -18.965 637.26 434.46
  4 -16.4363 603.83 442.659
  5 -13.9076 620.12 450.756
  6 -11.379 613.44 455.91
  7 -8.85032 610.99 448.12
  8 -6.32165 597.34 456.602
  9 -3.79299 610.12 456.627
  10 -1.26433 606.93 472.716
  11 1.26433 584.55 475.186
  12 3.79299 637.24 475.962
  13 6.32165 616.22 467.392
  14 8.85032 630.63 459.778
  15 11.379 610.55 455.044
  16 13.9076 612.25 454.564
  17 16.4363 606.18 447.201
  18 18.965 612.7 441.701
  19 21.4936 606.36 437.727
  20 24.0223 621.53 430.639
30000 20 12312
  1 -24.0223 624.3 431.081
  2 -21.4936 639.51 428.836
  3 -18.965 623.95 440.097
  4 -16.4363 624.01 442.534
  5 -13.9076 609.77 444.662
  6 -11.379 609.74 455.591
  7 -8.85032 605.06 448.293
  8 -6.32165 608.33 461.078
  9 -3.79299 592.24 468.986
  10 -1.26433 595.6 468.05
  11 1.26433 596.72 470.56
  12 3.79299 615.48 474.687
  13 6.32165 614.85 468.094
  14 8.85032 652.79 462.1
  15 11.379 604.85 454.516
  16 13.9076 628.38 454.349
  17 16.4363 607.43 447.625
  18 18.965 624.81 430.701
  19 21.4936 607.13 430.671
  20 24.0223 627.05 427.069
31000 20 12312.000000000004
  1 -24.0223 617.96 427.81
  2 -21.4936 631.31 425.853
  3 -18.965 628.68 432.803
  4 -16.4363 605.84 448.559
  5 -13.9076 617.32 453.331
  6 -11.379 604.7 460.092
  7 -8.85032 621.74 448.411
  8 -6.32165 587.59 458.143
  9 -3.79299 629.29 461.891
  10 -1.26433 592.97 470.741
  11 1.26433 602.39 467.561
  12 3.79299 626.67 464.021
  13 6.32165 630.46 468.873
